"Lamis.ID","days.post.bmt","age.at.S1K","age.at.bmt","total_counts","fd","host_ki67_source","donor_ki67_source"
591830,12,72,60,34009082.6458583,0.007668768515133,0.239800115163048,0.885161354343496
591831,12,72,60,24447160.5118883,0.00664822708462,0.251128839389318,0.916284292413677
591927,12,77,65,34211799.4626849,0.005815664362763,0.189036145556249,0.813904973085075
386203,21,91,70,28435517.5745762,0.239154352887095,0.088115772162588,0.403893532147066
397523,21,75,54,24732837.4175049,0.287036703773319,0.120823415489405,0.580579770393157
559343,28,79,51,28597312.4247979,0.298726642784928,0.164264487257037,0.568202444896544
559345,28,79,51,35726588.3720623,0.204841300301767,0.168885664178652,0.544277700790065
386217,33,103,70,46440272.4961453,0.560677157375015,0.053909435359721,0.275805906989106
397522,33,87,54,31192360.4545844,0.450870938051218,0.046185610666248,0.196871643914364
401432,33,78,45,36764540.2036896,0.589556875540543,0.039783439858589,0.143211469338116
488413,68,140,72,35186343.480135,0.768864164516512,0.068399170622483,0.17185766718427
559344,68,119,51,35655923.6963181,0.446590430109724,0.156004024607579,0.265806213191751
559409,68,119,51,29815746.2323227,0.597165239134292,0.123366506679806,0.245880032198683
320998,110,294,184,41334112.1248693,0.770766669121129,0.160512774973611,0.202636340602304
358352,110,231,121,55993021.4503168,0.821315475350959,0.110603910481629,0.165542523282104
405144,110,150,40,38568285.6588243,0.696386830236387,0.144596501109651,0.186592246975626
358353,152,273,121,47525909.3746575,0.875772038856328,0.070650704895589,0.104387832337871
405142,152,192,40,45802037.6153899,0.935008793607108,0.151498564532653,0.177819499251164
405143,152,273,121,37197141.4637526,0.671631214176812,0.184045024297985,0.21495215288398
203491,264,442,178,49736148.7996382,0.780808865623827,0.102966956929934,0.111487398205434
233207,264,382,118,59112312.8669808,0.732589532003393,0.12971277021584,0.140783089083233
256764,264,330,66,208392448.600601,0.653748786785344,0.110631626129163,0.112153029811194
256767,264,330,66,62519995.7895529,0.623719358354866,0.114809139682432,0.115200484521461
358351,334,455,121,76318249.5086286,0.916028860028628,0.279244286952197,0.28021087692916
405145,334,374,40,76409290.3025596,0.629905770862924,0.197251117865576,0.172013021206773
405146,334,374,40,68486088.0451973,0.702803998818871,0.178226049396277,0.179753264030565
378547,403,456,53,69614312.3941383,0.725217366569288,0.100527075622351,0.09883600237565
