"Lamis.ID","days.post.bmt","age.at.S1K","age.at.bmt","Nfd"
682687,12,113,99,0.00405159366051888
682688,12,113,99,0.00507816991692762
832634,14,88,74,0.00506882966447942
848687,14,88,41,0.00403038217847112
848686,18,59,41,0.0117302645900201
832636,21,95,74,0.0463805451084472
682691,28,108,80,0.0774189253412509
682692,28,108,80,0.0802508405150932
832637,28,102,74,0.0629807420907239
848688,28,69,41,0.0748086191983142
832653,35,109,74,0.0949410361390829
848701,35,76,41,0.0833427664732847
682625,42,122,80,0.128703534018658
882098,54,119,41,0.191771841420566
848702,82,124,42,0.144777085657668
860235,90,141,51,0.631604845022782
882114,98,156,58,0.466816801716025
882115,98,156,58,0.599895658623734
848702,117,158,65,0.678547970501267
882099,118,183,65,0.597867633986245
882100,118,183,65,0.675263405308726
860237,134,156,51,0.773245044781876
591924,147,217,70,0.650967113799474
591925,147,217,70,0.727864443439795
591926,147,217,70,0.648264321529396
882101,154,219,65,0.797164126119771
882113,154,212,58,0.876664376521468
832655,161,235,74,0.776995755316064
832656,161,235,72,0.725061754015319
832607,181,270,89,0.910904372541113
860234,190,291,101,0.931506716370637
599411,210,261,51,0.87899657201345
832605,217,306,89,0.89452651897499
832608,217,306,89,0.902541736043344
559411,238,289,51,0.931800684638117
486691,378,442,64,0.877252792863216
408561,434,524,90,1.00486616116381
408562,434,524,90,0.960302994810037
408560,476,566,90,0.986278183677388
408782,476,563,87,1.01987259149789
408781,644,731,87,0.931196641148698
408783,644,731,87,1.12113447150751
