Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts,fd,host_ki67_Tra,donor_ki67_Tra
591830,12,72,60,972529.055806359,0.130285714285714,0.997371879106439,1
591831,12,72,60,512898.425735186,0.110820700470465,0.995884773662551,1
591927,12,77,65,1020259.46795964,0.118783394985614,0.996268656716418,1
682687,12,113,99,1126713.49527136,0.273763201778766,0.969001148105626,0.996954314720812
682688,12,113,99,3336856.87705496,0.437346754419925,0.988073394495413,0.997639421658306
386203,21,91,70,2072041.91063448,0.811332904056664,0.946530147895336,0.981481481481482
397523,21,75,54,2012586.03139454,0.82127419657959,0.974763406940063,0.990160183066362
559343,28,79,51,1624364.65486401,0.712478559176672,0.986577181208054,0.99939813421607
559345,28,79,51,874049.540185335,0.583180147058824,0.986769570011025,0.998423955870764
682691,28,108,80,1437939.37093276,0.805546123372948,0.877182770663562,0.932274834902346
682692,28,108,80,1164073.24840764,0.835926449787836,0.962931034482758,0.991370558375634
386217,33,103,70,2961313.07941228,0.939968043825611,0.980988593155893,0.987858183584264
397522,33,87,54,1269785.5282993,0.878161888701518,0.923875432525952,0.954392702832453
401432,33,78,45,2279553.51394996,0.958013544018059,0.860215053763441,0.962770970782281
682625,42,122,80,537819.290780142,0.69848661233993,0.937258687258687,0.99
488413,68,140,72,827984.791982286,0.969187675070028,0.945454545454545,0.999421965317919
559344,68,119,51,709095.614814559,0.642226748133062,0.979127134724858,0.996828752642706
559409,68,119,51,760252.564154538,0.800613496932515,0.993846153846154,1
320998,110,294,184,550555.097809909,0.811194653299916,0.986725663716814,0.997940267765191
358352,110,231,121,412606.62349877,0.883751651254954,0.965909090909091,1
405144,110,150,40,648995.646031739,0.771628498727735,0.983286908077994,0.998351195383347
591924,147,217,70,1402703.01017883,0.694097616345062,0.99165120593692,0.996729354047424
591925,147,217,70,962145.022024058,0.708547888774459,0.975265017667844,0.995639534883721
591926,147,217,70,1706543.36239147,0.581691494473811,0.991958644457209,0.998347790169351
358353,152,273,121,760431.865828092,0.90964590964591,0.864864864864865,0.98255033557047
405142,152,192,40,2251290.74806859,0.93961038961039,0.967741935483871,0.997926744989634
405143,152,273,121,1953016.46369725,0.704911742133538,0.980494148244473,0.997278170930865
599410,210,261,51,2435260.9427972,0.828957680250784,0.962199312714777,0.998581895532971
599411,210,261,51,585910.0829897,0.638022366097705,0.991869918699187,0.99169741697417
559411,238,289,51,484649.015450776,0.717948717948718,0.931818181818182,0.948051948051948
203491,264,442,178,339570.44906826,0.72985347985348,0.766101694915254,0.969887076537014
233207,264,382,118,636338.950036575,0.784028126569563,0.83953488372093,0.976297245355541
256767,264,330,66,864186.492136174,0.602517042475092,0.955145118733509,0.974760661444735
358351,334,455,121,2290245.09382675,0.922228350799779,0.985815602836879,0.999102870813397
405145,334,374,40,1178244.00685708,0.602585722315908,0.992927864214993,0.995335820895522
405146,334,374,40,1428895.90089564,0.689495603887089,0.994038748137109,0.995973154362416
486691,378,442,64,497777.8125,0.52914798206278,0.802976190476191,0.880826271186441
378547,403,456,53,669094.231658278,0.699895068205666,0.986013986013986,0.995502248875562
408561,434,524,90,1165177.19695073,0.935483870967742,0.94375,0.91853448275862
408562,434,524,90,1666287.57191878,0.807006232538148,0.993318485523385,0.996271637816245
408560,476,566,90,673229.888268156,0.978879436784981,0.569444444444444,0.680851063829787
