Unnamed: 0,Age at BMT,Age at S1K,Days postBMT,Lamis ID,total_FM,fd_FM,frac_Ki67+_FM_donor,frac_Ki67+_FM_host,total_T2_MZP,fd_T2_MZP,frac_Ki67+_T2_MZP_donor,frac_Ki67+_T2_MZP_host,total_MZ,fd_MZ,frac_Ki67+_MZ_donor,frac_Ki67+_MZ_host,ratio_MZ_Ki67+_host_to_donor,ratio_MZ_Ki67+_donor_to_host,T1_AA4.1+_host,total_T1_AA4.1+,fd_T1_AA4.1+,frac_Ki67+_T1_AA4.1+_donor,frac_Ki67+_T1_AA4.1+_host,Nfd_MZ,total_T1,fd_T1,frac_Ki67+_T1_donor,frac_Ki67+_T1_host,Ki67+_T2_host,total_T2,fd_T2,frac_Ki67+_T2_donor,frac_Ki67+_T2_host
20181129_Bcells_SPLEEN_14d_001_019.fcs,74,88,14,832634,22470087.814569537,0.016125331546728586,0.4413773477518498,0.07655640752971027,2314155.6953642387,0.004277503007619302,0.3958333333333333,0.08256141763995167,2933759.2052980135,0.002143961760157458,0.6557377049180327,0.1291958719312458,0.19702370469514985,5.075531401398002,926363.4437086093,1250755.629139073,0.2593569661995053,0.9958677685950414,0.9863089937666963,0.00826645141472027,977610.3973509934,0.27402172766585803,0.997690531177829,0.9840185965422055,622284.4370860927,898832.3841059603,0.13490879889870366,0.9719387755102041,0.8002917384962206
20181129_Bcells_SPLEEN_14d_002_020.fcs,74,88,14,848687,24406814.7,0.013666592879897597,0.4855633802816901,0.07432452211586313,1771146.0,0.004575596816976128,0.21739130434782608,0.09646259409766172,3881487.6,0.0010590656015492617,0.39999999999999997,0.16051252536879412,0.40128131342198536,2.492017361766371,788206.95,1069147.35,0.26277051521476436,0.9962374581939798,0.9772016092981672,0.004030382178471124,882871.6499999999,0.2745776240521485,0.9985465116279071,0.9748762149275628,498810.15,727837.65,0.1371631434565112,0.96,0.794277164765289
20181204_2-5wks_SPLEEN_001_018.fcs,74,92,18,832635,24893672.18181818,0.0010950778531911255,0.5729166666666666,0.20862976624147814,2513078.1818181816,0.0006214689265536723,0.1818181818181818,0.10085363785403358,2396653.0909090913,0.00011848341232227486,1.0,0.24582296480625662,0.24582296480625662,4.067968185104846,3317547.1636363636,3336146.7818181817,0.005575179810188536,0.9847328244274808,0.9956774800992896,0.021251944575087722,2300815.3636363638,0.006602900339401419,1.0,0.9966455460305629,2433426.381818182,2521597.0909090913,0.0036599099099099094,1.0,0.9685786945464819
20181204_2-5wks_SPLEEN_002_019.fcs,41,59,18,848686,25125047.61904762,0.22556496036544404,0.49516344229486325,0.07974851321624116,2391723.597883598,0.07169875232879806,0.32755905511811023,0.06781001033874597,2776954.074074074,0.009384420888845666,0.616580310880829,0.13802581848525008,0.2238569997281787,4.467137508383758,605593.6507936508,3028238.306878307,0.8000178356445357,0.9954854531267416,0.9810479375696768,0.011730264590020162,1922101.5873015875,0.8000702493853179,0.9989463517429097,0.9936753338018273,379424.3386243386,1576298.8359788358,0.7251156415967106,0.982279976373302,0.8756622000623246
20181207_3wks_SPLEEN_001_048.fcs,74,95,21,832636,27379717.802907914,0.273493904015593,0.28886990037088217,0.06724293692509856,2123767.366720517,0.14935897435897436,0.2759656652360515,0.08892238131122833,2757221.8255250403,0.03885844072483089,0.3761118170266836,0.1386006370081167,0.36850912609928327,2.7136370015720623,309716.0743134087,1946514.4749596124,0.8408868373199049,0.9877734342510187,0.9525274725274727,0.046211260540932546,1503654.5234248787,0.8324128564961522,0.997389601914292,0.9740680713128038,316659.15993537963,1580845.2988691437,0.7590423699621082,0.9496255956432949,0.8313080771979985
20181207_3wks_SPLEEN_002_049.fcs,41,62,21,848689,20887437.846410684,0.00268080631544648,0.6740331491712707,0.13829650310878777,1120831.6026711187,0.001104057410985371,0.16666666666666666,0.12065948236161,1633037.9298831385,0.00025258903763576663,0.75,0.21595502779181405,0.28794003705575205,3.4729453056449255,901491.3856427378,941090.183639399,0.042077580539119,0.9973958333333334,0.9876458476321208,0.006002936347562516,782488.7479131887,0.042040063257775435,1.0,0.9955977438437199,658536.2604340567,713293.9732888147,0.020529131126210787,0.9929577464788732,0.9425830258302583
20181213_4wks_SPLEEN_001_024.fcs,74,102,28,832637,24321530.238500852,0.2667298827867773,0.26293648285669147,0.03906805658330519,1442955.741056218,0.1675546084176878,0.26020137784843667,0.06773333333333334,2560983.7819420784,0.05423253952371422,0.3745387453874539,0.1168535759627592,0.3119932914867758,3.2051971221387183,177454.5996592845,1277544.9914821126,0.8610971818272991,0.9917307244351269,0.9270758122743683,0.0629807420907238,1283695.042589438,0.8601656851981235,0.9980273845439778,0.9428979300499643,410515.91141396936,2241693.628620102,0.7788637402834934,0.9731415572026124,0.8281209614887568
20181213_4wks_SPLEEN_002_025.fcs,41,69,28,848688,28565931.618398637,0.17466727586257721,0.28593930188732314,0.06777623010345608,1476524.667802385,0.07518296739853625,0.17572692793931732,0.08715313463514902,2813269.9829642246,0.04245235957298214,0.38307873090481787,0.17119041417035688,0.44688049834041016,2.2377347047224525,652163.3049403748,1507820.647359455,0.5674795234549516,0.9922912907987536,0.9692274585754249,0.07480861919831396,1505294.5144804087,0.5622785754242029,0.9991709500911955,0.9755058572949946,1340113.492333901,2805270.562180579,0.46555605583070686,0.9707715452396305,0.893850042122999
20181220_5wks_SPLEEN_CD1d_001_065.fcs,74,109,35,832653,29864682.00972447,0.4066424997447156,0.18288655910603305,0.02262186464742073,2092327.0016207455,0.19559830928436087,0.12593144560357675,0.03506069940206559,3359433.6466774717,0.08873456790123456,0.20511508951406648,0.16073118493798874,0.7836146298098953,1.27613748130583,110852.77147487845,1695727.1961102108,0.934628180918982,0.9858572253223014,0.9270976616231086,0.0949410361390831,1475698.9303079415,0.929220913411862,0.9983320360280219,0.9678832116788322,129150.34035656402,1610491.021069692,0.9038060973300511,0.981981981981982,0.8336614173228346
20181220_5wks_SPLEEN_CD1d_002_066.fcs,41,76,35,848701,20827024.390243903,0.19722081134200473,0.2305237522044621,0.0720175504954989,1116365.8536585367,0.1041301884849109,0.15034619188921858,0.07530466773971027,1956543.5540069686,0.045251527973671844,0.23506493506493506,0.21112889326603473,0.8981726398610318,1.113371701185112,466714.28571428574,1021160.2787456447,0.5429568742258755,0.9968892575694731,0.9876816949987681,0.08334276647328487,927679.4425087108,0.5335894893406049,0.9990708478513356,0.9946850916821686,585376.306620209,1086125.4355400696,0.4323523184416685,0.9828599412340842,0.9494591570309586
