Lamis ID,Age at S1K,Age at BMT,Days postBMT,total_MZ,fd_MZ,Nfd_MZ,frac_Ki67+_MZ_donor,frac_Ki67+_MZ_host
848686,59,41,18,2776954.074074074,0.0093844208888456,0.0117302645900201,0.616580310880829,0.13802581848525
848689,62,41,21,1633037.9298831385,0.0002525890376357,0.0060029363475625,0.75,0.215955027791814
848688,69,41,28,2813269.9829642246,0.0424523595729821,0.0748086191983139,0.3830787309048178,0.1711904141703568
848701,76,41,35,1956543.5540069689,0.0452515279736718,0.0833427664732848,0.235064935064935,0.2111288932660347
848687,88,41,14,3881487.6,0.0010590656015492,0.0040303821784711,0.3999999999999999,0.1605125253687941
832634,88,74,14,2933759.205298013,0.0021439617601574,0.0082664514147202,0.6557377049180327,0.1291958719312458
832635,92,74,18,2396653.0909090918,0.0001184834123222,0.0212519445750877,1.0,0.2458229648062566
832636,95,74,21,2757221.8255250403,0.0388584407248308,0.0462112605409325,0.3761118170266836,0.1386006370081167
832637,102,74,28,2560983.7819420784,0.0542325395237142,0.0629807420907238,0.3745387453874539,0.1168535759627592
832653,109,74,35,3359433.646677472,0.0887345679012345,0.0949410361390831,0.2051150895140664,0.1607311849379887
882098,119,41,54,1948093.0714285716,0.1166490725380787,0.1917718414205655,0.220426632191338,0.379086641058472
848700,123,41,82,2377632.850241546,0.2541289933694997,0.3512275165162534,0.1605787476280834,0.1553256828834653
848702,124,42,82,4255527.147239264,0.0282650095219003,0.1447770856576683,0.2340425531914893,0.1336427711878975
860235,141,51,90,2175676.0,0.6117494740249232,0.6316048450227816,0.1349206349206349,0.2699041267194664
848702,158,65,117,3396507.3615635177,0.1944882717997265,0.6785479705012679,0.1533261222282314,0.2795769130321233
882113,212,58,154,1435050.6706408344,0.8572076155938351,0.8767830349953841,0.1593865679534638,0.099047619047619
882101,219,65,154,3127495.78125,0.7246607796683179,0.7966028352549508,0.1669143434583605,0.0930851063829787
860234,291,101,190,2977847.251114413,0.8689472814410841,0.9307184239398578,0.1429567642956764,0.1025641025641025
832605,306,89,217,2411446.153846154,0.7026454253142356,0.8960621467908334,0.1410296411856474,0.1042025067584173
832608,306,89,217,1674381.9466248038,0.6086956521739131,0.9051538645445542,0.1387274395839706,0.1251487033071615
408781,731,87,644,2689322.8834355827,0.8116501968942714,0.9311966411486988,0.0944708897839619,0.0800788954635108
408783,731,87,644,1257854.5395799675,0.8711343709644532,1.1211344715075064,0.0879300928454396,0.1091772151898734
