Lamis ID,Age at S1K,Age at BMT,Days postBMT,total_FM,fd_FM,Nfd_FM,frac_Ki67+_FM_donor,frac_Ki67+_FM_host
848686,59,41,18,25125047.61904762,0.225564960365444,0.28194991450874,0.4951634422948632,0.0797485132162411
848689,62,41,21,20887437.846410684,0.0026808063154464,0.0637110375905327,0.6740331491712707,0.1382965031087877
848688,69,41,28,28565931.61839864,0.1746672758625772,0.3077948518726471,0.2859393018873231,0.067776230103456
848701,76,41,35,20827024.390243903,0.1972208113420047,0.3632347626562306,0.2305237522044621,0.0720175504954989
848687,88,41,14,24406814.7,0.0136665928798975,0.0520096132883394,0.4855633802816901,0.0743245221158631
832634,88,74,14,22470087.814569537,0.0161253315467285,0.0621742757984163,0.4413773477518498,0.0765564075297102
832635,92,74,18,24893672.18181818,0.0010950778531911,0.1964201856216173,0.5729166666666666,0.2086297662414781
832636,95,74,21,27379717.802907918,0.273493904015593,0.3252446011490433,0.2888699003708821,0.0672429369250985
832637,102,74,28,24321530.23850085,0.2667298827867773,0.3097558422160443,0.2629364828566914,0.0390680565833051
832653,109,74,35,29864682.00972447,0.4066424997447156,0.4350847834963424,0.182886559106033,0.0226218646474207
882098,119,41,54,25726668.10714286,0.3394161209096775,0.5580023321096372,0.2249642526705357,0.1174563935899873
848700,123,41,82,28495764.895330112,0.5912488055122466,0.8171552834246232,0.1209785807856547,0.0842971749187912
848702,124,42,82,32823904.141104296,0.1008078314166287,0.5163509332151747,0.1032956645039315,0.0674496127018382
860235,141,51,90,33361891.135135133,0.8605790034723322,0.8885105606087659,0.1286746219600436,0.0671082513247539
848702,158,65,117,31685194.397394136,0.3002587708665723,1.047569489467819,0.0980867083497624,0.1107897323514719
882113,212,58,154,31419152.906110283,0.9516340085799944,0.9733657740191356,0.0530346544131725,0.0267123287671232
882101,219,65,154,26285110.03125,0.8715705418966639,0.9580973391679348,0.0822214250851205,0.0664857530529172
860234,291,101,190,34344898.66270431,0.9282408402470304,0.9942270035514248,0.0522118110762929,0.0477902023429179
832605,306,89,217,33652044.755244754,0.7969491312407704,1.0163247687883672,0.0585923896259207,0.0691682785299806
832608,306,89,217,35754391.36577708,0.6968229123521436,1.0362024926022058,0.0374349284212633,0.0426391705135395
408781,731,87,644,34269634.478527606,0.865345818805173,0.9928009911003756,0.077716087647899,0.0752576426777518
408783,731,87,644,10457128.788368337,0.9082867327250728,1.1689489015840435,0.0512250445552575,0.0446603672668924
